zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations,,,pop_per_restaurant,num_reviews_per_capita,pop_peravg_bizreview,dollarsPerViolation
10001,79,17670,223.7,3.8,3.9,American (New),12,Korean,10,Pizza,7,4314802,2323693,152094,65.9,19026,1145,2677,7904,2427,2448,1200,1225,7992,7464,901,777,2068,9033,11.1,,,241,0.93,85,13754
10002,125,40372,323,4,4,Chinese,23,American (New),17,Sandwiches,11,1117262,873855,72271,50.3,69363,3081,5838,25757,10642,9872,6640,7533,25400,26709,9111,13772,7575,15813,12.6,,,555,0.58,215,5744
10003,238,92605,389.1,3.8,3.9,American (New),34,Japanese,32,Italian,28,1679405,2267822,145853,63.6,53652,6006,6925,23526,5854,5291,3333,2717,20382,21214,2273,1209,3645,27544,11.9,,,225,1.73,138,12272
10004,75,6801,90.7,3.6,3.6,American (Traditional),12,Sandwiches,12,Bars,7,2199455,1648195,225025,81.1,2398,60,173,1371,364,344,70,16,1289,963,130,34,302,1613,11.0,,,32,2.84,26,20442
10005,36,1949,54.1,3.4,3.5,Food Stands,7,Sandwiches,6,American (New),4,1785598,1355145,173731,80.5,5352,41,909,3931,319,126,26,0,2697,2588,37,121,454,3764,10.8,,,149,0.36,99,16019
10006,45,2236,49.7,3.3,3.4,Delis,9,American (Traditional),5,Chinese,5,1377993,1314303,154370,83.8,2483,0,332,1815,187,113,36,0,1136,1311,120,23,263,1709,12.4,,,55,0.90,50,12488
10007,46,3680,80,3.6,3.6,American (New),9,American (Traditional),6,Sandwiches,5,2395286,2390066,378782,67.2,5186,152,280,3394,714,464,100,82,2743,2109,247,310,442,3573,11.4,,,113,0.71,65,33208
10009,110,31346,285,4,4.1,American (New),18,Breakfast & Brunch,12,Italian,12,1937335,812723,99830,60.3,56612,1924,7291,22661,8783,7593,4941,3419,22120,24208,4909,4465,5020,24643,12.2,,,515,0.55,199,8160
10010,83,22427,270.2,3.7,3.8,American (New),13,Italian,10,Sandwiches,8,2077753,2164898,168117,64.5,27019,1082,3360,12913,2949,3008,1946,1761,10440,11790,1133,420,2117,15200,11.8,,,326,0.83,100,14194
10011,122,38954,319.3,3.9,3.8,American (New),25,Italian,15,Breakfast & Brunch,14,2286197,2542086,194053,70.7,47020,1484,2415,22476,7731,6598,3768,2548,20469,18751,2012,1387,4585,28821,11.6,,,385,0.83,147,16679
10012,170,57065,335.7,3.9,3.9,American (New),28,Italian,26,French,15,2930141,3269783,130260,70.4,22589,696,2455,10956,2604,2714,1715,1449,9812,8917,929,869,1357,13119,11.4,,,133,2.53,67,11471
10013,121,32999,272.7,3.9,3.9,American (New),27,Chinese,21,Italian,18,3376279,3040994,197372,60.1,22693,919,3282,8838,2855,3501,1824,1474,8975,9501,2275,2242,1523,9154,12.9,,,188,1.45,83,15288
10014,154,47505,308.5,3.9,3.9,American (New),42,Italian,27,Bars,16,2914956,3342461,169443,74.1,28620,558,1977,14677,3801,3755,2372,1480,11389,12821,811,187,2151,19084,11.7,,,186,1.66,93,14462
10016,104,24984,240.2,3.8,3.9,American (New),15,Sandwiches,12,Breakfast & Brunch,9,1797734,1439636,164224,72.8,48552,1157,6693,24292,5761,4650,3532,2467,19090,22306,1438,674,3252,29339,12.1,,,467,0.51,202,13556
10017,119,18085,152,3.8,3.7,Italian,18,Japanese,17,American (New),16,1716265,2337306,166578,78.2,15217,27,1637,7705,1946,1578,1399,925,6102,6764,515,183,1065,9466,12.1,,,128,1.19,100,13801
10018,50,10196,203.9,3.8,3.8,Italian,8,American (New),7,Japanese,6,3944114,3584563,128736,72.2,5760,129,856,3310,635,503,249,78,3015,2289,479,496,523,2950,12.0,,,115,1.77,28,10743
10019,178,59730,335.6,3.9,3.9,American (New),30,Italian,25,American (Traditional),19,688168,512101,142527,69.9,37419,458,2932,18956,5362,4514,2718,2479,15685,16079,2387,1315,3664,21466,11.2,,,210,1.60,111,12717
10020,10,2490,249,4.1,3.8,Steakhouses,5,American (Traditional),2,Burgers,1,700000000,700000000,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,,,?,?,?,?
10021,79,12334,156.1,3.8,3.7,Italian,14,American (New),9,French,7,2193965,2356529,187485,65.8,36953,633,1580,15588,4920,5459,4541,4232,11868,15679,1158,511,2034,22264,11.7,,,468,0.33,237,15982
10022,103,21267,206.5,3.7,3.8,Italian,13,American (New),12,French,10,1566553,2067354,192809,66.9,26981,358,1728,9863,3878,4321,3391,3442,9058,10732,880,178,1754,15250,11.4,,,262,0.79,131,16845
10023,116,17283,149,3.6,3.5,Italian,18,American (New),14,French,10,1860030,2457433,185262,65.2,52569,1588,2731,21262,7627,8241,5100,6020,19286,20575,1988,923,3424,30795,11.4,,,453,0.33,353,16208
