zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations,pop_per_restaurant,num_reviews_per_capita,pop_peravg_bizreview,dollarsPerViolation,percent_most_common,percent_with_bachelor_plus,Neighborhood,Borough,Zillow Home Value Index (USD),Median Single Family Home Value (USD),Percent Homes Decreasing(%),Percent Listing Price Reduction(%),Median List Price Per Sq Ft(USD),Median List Price (USD),Median Sale Price (USD),Property Tax (USD),Turnover (Sold Within Last Yr.) (%),Median Value Per Sq Ft (USD),1-Yr. Change (USD),BuiltYear<1900 (%),BuiltYear>2000 (%),BuiltYear1900-1919 (%),BuiltYear1920-1939 (%),BuiltYear1940-1959 (%),BuiltYear1960-1979 (%),BuiltYear1980-1999 (%),HomeSize<1000sqft (%),HomeSize>3600sqft (%),HomeSize1000-1400sqft (%),HomeSize1400-1800sqft (%),HomeSize1800-2400sqft (%),HomeSize2400-3600sqft (%),average_year_built_per_zip,average_home_size_per_zip,sale_price_vs_year_built,list_price_vs_sale_price,homesize_val_per_sqft_vs_list_price,zillow_index_vs_median_list_price,median_list_sqft_vs_median_val_sqft
10001,79,17670,223.7,3.8,3.9,American (New),12,Korean,10,Pizza,7,4314802,2323693,152094,65.9,19026,1145,2677,7904,2427,2448,1200,1225,7992,7464,901,777,2068,9033,11.1,241,0.93,85,13754,15%,47%,Chelsea,Manhattan,2190100,0,0.1,0.076,1607,1925000,825800,14137,0.1,1688,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.42898701298701297, 0.0, 1.1377142857142857, 0.9520142180094787
10002,125,40372,323,4,4,Chinese,23,American (New),17,Sandwiches,11,1117262,873855,72271,50.3,69363,3081,5838,25757,10642,9872,6640,7533,25400,26709,9111,13772,7575,15813,12.6,555,0.58,215,5744,18%,23%,Lower East Side,Manhattan,889600,0,0.212,0.091,1288,699000,591800,5345,0.072,1037,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.8466380543633762, 0.0, 1.2726752503576537, 1.2420443587270973
10003,238,92605,389.1,3.8,3.9,American (New),34,Japanese,32,Italian,28,1679405,2267822,145853,63.6,53652,6006,6925,23526,5854,5291,3333,2717,20382,21214,2273,1209,3645,27544,11.9,225,1.73,138,12272,14%,51%,Lower East Side,Manhattan,1425400,0,0.17,0.183,1619,1350000,873000,10245,0.091,1647,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.6466666666666666, 0.0, 1.0558518518518518, 0.9829993928354585
10004,75,6801,90.7,3.6,3.6,American (Traditional),12,Sandwiches,12,Bars,7,2199455,1648195,225025,81.1,2398,60,173,1371,364,344,70,16,1289,963,130,34,302,1613,11,32,2.84,26,20442,16%,67%,Lower Manhattan,Manhattan,1544100,0,0.068,0.185,1457,1450000,1565000,5685,0.082,1436,0.134,0,0.6061588331,0,0.2495948136,0,0,0.1361426256,0.4140866873,0.0154798762,0.2592879257,0.1950464396,0.076625387,0.0286377709, 	1964.9594813919998, 1253.94736852, 796.4540820410892, 1.0793103448275863, 1.2418402904791173, 1.064896551724138, 1.0146239554317549
10005,36,1949,54.1,3.4,3.5,Food Stands,7,Sandwiches,6,American (New),4,1785598,1355145,173731,80.5,5352,41,909,3931,319,126,26,0,2697,2588,37,121,454,3764,10.8,149,0.36,99,16019,19%,70%,Lower Manhattan,Manhattan,1179800,0,0.125,0.142,1295,1150000,1085000,8409,0.11,1273,0.197,0.016064257,0.0535475234,0.2704149933,0.2603748327,0.0816599732,0,0.3179384203,0,0,0,0,0,0, 	1948.406960981, 0.0, 556.8651835721811, 0.9434782608695652, 0.0, 1.0259130434782608, 1.0172820109976433
10006,45,2236,49.7,3.3,3.4,Delis,9,American (Traditional),5,Chinese,5,1377993,1314303,154370,83.8,2483,0,332,1815,187,113,36,0,1136,1311,120,23,263,1709,12.4,55,0.9,50,12488,20%,69%,Lower Manhattan,Manhattan,0,0,0,0.239,1266,1785000,665000,2620,0.193,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.37254901960784315, 0.0, 0.0, 0.6600625651720542
10007,46,3680,80,3.6,3.6,American (New),9,American (Traditional),6,Sandwiches,5,2395286,2390066,378782,67.2,5186,152,280,3394,714,464,100,82,2743,2109,247,310,442,3573,11.4,113,0.71,65,33208,20%,69%,Lower Manhattan,Manhattan,2551100,0,0.136,0.085,1725,4725000,2240000,10800,0.066,2648,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.4740740740740741, 0.0, 0.5399153439153439, 0.6514350453172205
10009,110,31346,285,4,4.1,American (New),18,Breakfast & Brunch,12,Italian,12,1937335,812723,99830,60.3,56612,1924,7291,22661,8783,7593,4941,3419,22120,24208,4909,4465,5020,24643,12.2,515,0.55,199,8160,16%,44%,Lower East Side,Manhattan,1064700,0,0.193,0.193,1345,785000,500000,5389,0.06,1197,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.6369426751592356, 0.0, 1.3563057324840764, 1.123642439431913
10010,83,22427,270.2,3.7,3.8,American (New),13,Italian,10,Sandwiches,8,2077753,2164898,168117,64.5,27019,1082,3360,12913,2949,3008,1946,1761,10440,11790,1133,420,2117,15200,11.8,326,0.83,100,14194,16%,56%,Gramercy Park and Murray Hill,Manhattan,0,0,0,0.174,1699,1200000,830700,12248,0.097,1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.69225, 0.0, 0.0, 1.0204204204204204
10011,122,38954,319.3,3.9,3.8,American (New),25,Italian,15,Breakfast & Brunch,14,2286197,2542086,194053,70.7,47020,1484,2415,22476,7731,6598,3768,2548,20469,18751,2012,1387,4585,28821,11.6,385,0.83,147,16679,20%,61%,Chelsea,Manhattan,0,0,0,0.134,0,2695000,926300,8984,0.085,2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.34371057513914655, 0.0, 0.0, 0.0
