zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations
10001,79,17670,223.7,3.8,3.9,American (New),12,Korean,10,Pizza,7,4314802.127,2323692.513,152094,65.9,19026,1145,2677,7904,2427,2448,1200,1225,7992,7464,901,777,2068,9033,11.05816024
10002,125,40372,323,4,4,Chinese,23,American (New),17,Sandwiches,11,1117262.395,873854.6891,72271,50.3,69363,3081,5838,25757,10642,9872,6640,7533,25400,26709,9111,13772,7575,15813,12.58267236
10003,238,92605,389.1,3.8,3.9,American (New),34,Japanese,32,Italian,28,1679405.169,2267822.282,145853,63.6,53652,6006,6925,23526,5854,5291,3333,2717,20382,21214,2273,1209,3645,27544,11.88530327
10004,75,6801,90.7,3.6,3.6,American (Traditional),12,Sandwiches,12,Bars,7,2199454.618,1648195.396,225025,81.1,2398,60,173,1371,364,344,70,16,1289,963,130,34,302,1613,11.00819672
10005,36,1949,54.1,3.4,3.5,Food Stands,7,Sandwiches,6,American (New),4,1785598.239,1355145.421,173731,80.5,5352,41,909,3931,319,126,26,0,2697,2588,37,121,454,3764,10.84528302
10006,45,2236,49.7,3.3,3.4,Delis,9,American (Traditional),5,Chinese,5,1377993.343,1314302.723,154370,83.8,2483,0,332,1815,187,113,36,0,1136,1311,120,23,263,1709,12.36190476
10007,46,3680,80,3.6,3.6,American (New),9,American (Traditional),6,Sandwiches,5,2395286.293,2390065.775,378782,67.2,5186,152,280,3394,714,464,100,82,2743,2109,247,310,442,3573,11.40643863
10009,110,31346,285,4,4.1,American (New),18,Breakfast & Brunch,12,Italian,12,"1,937,334.81",812722.7632,99830,60.3,56612,1924,7291,22661,8783,7593,4941,3419,22120,24208,4909,4465,5020,24643,12.23465097
10010,83,22427,270.2,3.7,3.8,American (New),13,Italian,10,Sandwiches,8,"2,077,752.89",2164897.719,168117,64.5,27019,1082,3360,12913,2949,3008,1946,1761,10440,11790,1133,420,2117,15200,11.84402655
10011,122,38954,319.3,3.9,3.8,American (New),25,Italian,15,Breakfast & Brunch,14,2286196.666,2542086.26,194053,70.7,47020,1484,2415,22476,7731,6598,3768,2548,20469,18751,2012,1387,4585,28821,11.63427562
10012,170,57065,335.7,3.9,3.9,American (New),28,Italian,26,French,15,2930140.758,3269783.22,130260,70.4,22589,696,2455,10956,2604,2714,1715,1449,9812,8917,929,869,1357,13119,11.35578145
