Zip,Neighborhood,Borough,Zillow Home Value Index (USD),Median Single Family Home Value (USD),Percent Homes Decreasing(%),Percent Listing Price Reduction(%),Median List Price Per Sq Ft(USD),Median List Price (USD),Median Sale Price (USD),Property Tax (USD),Turnover (Sold Within Last Yr.) (%),Median Value Per Sq Ft (USD),1-Yr. Change (USD),BuiltYear<1900 (%),BuiltYear>2000 (%),BuiltYear1900-1919 (%),BuiltYear1920-1939 (%),BuiltYear1940-1959 (%),BuiltYear1960-1979 (%),BuiltYear1980-1999 (%),HomeSize<1000sqft (%),HomeSize>3600sqft (%),HomeSize1000-1400sqft (%),HomeSize1400-1800sqft (%),HomeSize1800-2400sqft (%)
10001,Chelsea,Manhattan,2190100,-1,0.1,0.076,1607,1925000,825800,14137,0.1,1688,0.223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10002,Lower East Side,Manhattan,889600,-1,0.212,0.091,1288,699000,591800,5345,0.072,1037,0.094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10003,Lower East Side,Manhattan,1425400,-1,0.17,0.183,1619,1350000,873000,10245,0.091,1647,0.053,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10004,Lower Manhattan,Manhattan,1544100,-1,0.068,0.185,1457,1450000,1565000,5685,0.082,1436,0.134,-1,0.6061588331,-1,0.2495948136,-1,-1,0.1361426256,0.4140866873,0.0154798762,0.2592879257,0.1950464396,0.076625387
10005,Lower Manhattan,Manhattan,1179800,-1,0.125,0.142,1295,1150000,1085000,8409,0.11,1273,0.197,0.016064257,0.0535475234,0.2704149933,0.2603748327,0.0816599732,-1,0.3179384203,-1,-1,-1,-1,-1
10006,Lower Manhattan,Manhattan,-1,-1,0,0.239,1266,1785000,665000,2620,0.193,1918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10007,Lower Manhattan,Manhattan,2551100,-1,0.136,0.085,1725,4725000,2240000,10800,0.066,2648,0.183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10009,Lower East Side,Manhattan,1064700,-1,0.193,0.193,1345,785000,500000,5389,0.06,1197,0.067,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10010,Gramercy Park and Murray Hill,Manhattan,-1,-1,0,0.174,1699,1200000,830700,12248,0.097,1665,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10011,Chelsea,Manhattan,-1,-1,0,0.134,0,2695000,926300,8984,0.085,2298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10012,Greenwich Village and Soho,Manhattan,-1,-1,0,0.137,0,3250000,1437800,10802,0.072,2347,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10013,Greenwich Village and Soho,Manhattan,3079000,-1,0.19,0.068,0,4775000,2630000,13016,0.059,2446,0.195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10014,Greenwich Village and Soho,Manhattan,-1,-1,0,0.184,0,2150000,964000,10213,0.066,2330,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10016,Gramercy Park and Murray Hill,Manhattan,-1,-1,0,0.189,0,899000,643000,8969,0.078,1436,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10017,Gramercy Park and Murray Hill,Manhattan,-1,-1,0,0.204,0,720000,537100,9994,0.073,1346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10018,Chelsea,Manhattan,-1,-1,0,0.106,0,1125000,660300,5188,0.084,2500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10019,Chelsea,Manhattan,-1,-1,0,0.136,0,1795000,640200,9195,0.074,1833,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10020,Chelsea,Manhattan,-1,-1,0,0,0,7750000,0,0,0,800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10021,Upper East Side,Manhattan,-1,-1,0,0.178,0,1545000,918500,12660,0.073,1538,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10022,Gramercy Park and Murray Hill,Manhattan,-1,-1,0,0.181,0,1625000,743100,10389,0.079,1386,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10023,Upper West Side,Manhattan,-1,-1,0,0.22,0,1150000,985200,11390,0.065,1680,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10024,Upper West Side,Manhattan,-1,-1,0,0.144,0,1550000,1102200,11794,0.074,1464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10025,Upper West Side,Manhattan,1037900,-1,0.171,0.181,1191,925000,831000,5135,0.061,1201,0.115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10026,Central Harlem,Manhattan,-1,-1,0,0.08,850,1125000,773800,540,0.07,1101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10027,Central Harlem,Manhattan,921300,-1,0.125,0.138,0,585000,421000,484,0.08,802,0.186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10028,Upper East Side,Manhattan,-1,-1,0,0.231,0,1595000,913300,11592,0.08,1245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10029,East Harlem,Manhattan,726600,-1,0.119,0.214,916,838000,670000,4012,0.088,909,0.131,0.2125154895,0.1957868649,0.3079306072,0.2118959108,0.021685254,0.0167286245,0.0334572491,-1,-1,-1,-1,-1
10030,Central Harlem,Manhattan,576000,-1,0.378,0.158,0,585000,465000,678,0.065,599,0.002,0.0782414307,0.1713859911,0.4605067064,0.2667660209,-1,0.0111773472,-1,-1,-1,-1,-1,-1
10031,Inwood and Washington Heights,Manhattan,619500,-1,0.13,0.132,644,499000,375000,2923,0.085,624,0.14,0.1477457903,0.0543183053,0.4057577404,0.3758826725,0.0119500272,-1,-1,-1,-1,-1,-1,-1
10032,Inwood and Washington Heights,Manhattan,-1,-1,0,0.045,0,499900,499000,2265,0.074,673,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10033,Inwood and Washington Heights,Manhattan,-1,-1,0,0.141,0,465000,439300,3704,0.101,520,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10034,Inwood and Washington Heights,Manhattan,-1,-1,0,0.155,0,320000,315000,2541,0.114,424,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10035,East Harlem,Manhattan,-1,-1,0,0.164,0,600000,0,200,0.095,667,-1,0.2893823734,0.3990284525,0.2095766829,0.0680083276,0.0076335878,0.0138792505,0.0124913255,-1,-1,-1,-1,-1
10036,Chelsea,Manhattan,1150000,-1,0.074,0.206,1540,1349900,894400,5214,0.073,1558,0.164,0.021167634,0.6722430864,0.0679412769,0.0928644589,-1,0.0191191533,0.1235916695,-1,-1,-1,-1,-1
10037,Central Harlem,Manhattan,-1,-1,0,0.075,0,278100,425900,6335,0.071,653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10038,Lower Manhattan,Manhattan,-1,-1,0,0.228,1255,1100000,905000,8351,0.082,1102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10039,Central Harlem,Manhattan,-1,-1,0,0.045,0,387500,481500,151,0.038,649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10040,Inwood and Washington Heights,Manhattan,-1,-1,0,0.187,0,389000,327300,6178,0.112,460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10044,Upper East Side,Manhattan,-1,-1,0,0.438,0,745000,47445200,1989,0.041,961,-1,-1,0.9948275862,-1,-1,-1,-1,-1,0.6546112116,-1,0.287522604,0.0524412297,-1
10128,Upper East Side,Manhattan,-1,-1,0,0.243,0,1199000,849800,11672,0.067,1140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10280,Lower Manhattan,Manhattan,725200,-1,0.16,0.286,1046,699000,628000,13280,0.045,1030,0.207,-1,-1,-1,-1,-1,-1,-1,0.8359326263,-1,0.1316281971,0.0208983157,0.0084217093
10301,Stapleton and St. George,Staten Island,412800,447600,0.31,0.338,276,425000,475400,3384,0.032,282,0.073,0.0409034568,0.0665197631,0.1293210302,0.365514392,0.137997521,0.1220217601,0.1377220768,0.1193438914,0.0815893665,0.1681278281,0.2037613122,0.2345871041
10302,Port Richmond,Staten Island,320600,320600,0.282,0.296,236,329000,280000,2694,0.027,218,0.025,0.0632780083,0.0855809129,0.1859439834,0.3970435685,0.1314834025,0.0783195021,0.0583506224,0.0771829522,0.0192307692,0.3071725572,0.257016632,0.2406444906
