Name,Rating,# Reviews,Categories,Neighborhoods,Zip Code,closed
The Heath,4.5,90, [American (New)], [Chelsea],10001, false 
Porteno Restaurant,4,168, [Argentine], [Chelsea],10001, false 
Friedman's,4,284, [Gluten-Free | Breakfast & Brunch], [Midtown West],10001, false 
Pio Pio Riko,4,135, [Peruvian | Latin American], [Midtown West | Chelsea],10001, false 
Cafe Hanamizuki,4.5,59, [Cafes], [Midtown West | Chelsea],10001, false 
Ovest Pizzoteca,4,260, [Pizza], [Chelsea],10001, false 
Broadway Bites,4.5,84, [Street Vendors | American (New)], [Midtown West | Koreatown],10001, false 
NY Pizza Suprema,4,581, [Pizza], [Midtown West | Chelsea],10001, false 
Johny's Luncheonette,4,423, [American (Traditional) | Diners | Breakfast & Brunch], [Chelsea],10001, false 
Soup Spot,4.5,153, [Soup], [Midtown West],10001, false 
Smithfield,4,195, [Pubs | American (Traditional) | Sports Bars], [Chelsea],10001, false 
MEW Izakaya,4,244, [Japanese], [Midtown West],10001, false 
A Little Taste,5,18, [Cafes], [Chelsea],10001, false 
Rocket Pig,4,44, [American (New)], [Chelsea],10001, false 
Woorijip Authentic Korean Food,4,1470, [Korean], [Midtown West | Koreatown],10001, false 
Asura Asian Bistro,4,70, [Chinese | Asian Fusion | Bars], [Midtown West],10001, false 
Pepe Giallo,4,228, [Italian], [Chelsea],10001, false 
HIT Korean Food & Deli,4,123, [Korean | Delis | Sandwiches], [Chelsea],10001, false 
Stella 34 Trattoria,4,217, [Italian | Pizza], [Midtown West],10001, false 
OCabanon,4,79, [Coffee & Tea | French], [Midtown West | Chelsea],10001, false 
ilili,4,1355, [Greek | Middle Eastern | Mediterranean], [Flatiron],10001, false 
Kobeyaki,4,213, [Japanese | Sushi Bars | Burgers], [Chelsea],10001, false 
Luna 29 Cafe,5,17, [Cafes], [Midtown West | Chelsea],10001, false 
Bottino Take-Out,4.5,80, [Sandwiches], [Chelsea],10001, false 
Chop Shop,3.5,123, [Asian Fusion | Chinese | Thai], [Chelsea],10001, false 
The NoMad Library,4,110, [Gastropubs | Lounges], [Flatiron],10001, false 
