The Heath, 4.5, 93, [American (New)], [Chelsea], 10001, false 
Porteno Restaurant, 4.0, 168, [Argentine], [Chelsea], 10001, false 
Friedman's, 4.0, 291, [Gluten-Free | Breakfast & Brunch], [Midtown West], 10001, false 
Pio Pio Riko, 4.0, 138, [Peruvian | Latin American], [Midtown West | Chelsea], 10001, false 
Cafe Hanamizuki, 4.5, 59, [Cafes], [Midtown West | Chelsea], 10001, false 
Soup Spot, 4.5, 153, [Soup], [Midtown West], 10001, false 
Ovest Pizzoteca, 4.0, 261, [Pizza], [Chelsea], 10001, false 
Broadway Bites, 4.5, 88, [Street Vendors | American (New)], [Midtown West | Koreatown], 10001, false 
NY Pizza Suprema, 4.0, 587, [Pizza], [Midtown West | Chelsea], 10001, false 
Johny's Luncheonette, 4.0, 430, [American (Traditional) | Diners | Breakfast & Brunch], [Chelsea], 10001, false 
Smithfield, 4.0, 203, [Pubs | American (Traditional) | Sports Bars], [Chelsea], 10001, false 
MEW Izakaya, 4.0, 258, [Japanese], [Midtown West], 10001, false 
A Little Taste, 5.0, 17, [Cafes], [Chelsea], 10001, false 
Rocket Pig, 4.0, 46, [American (New)], [Chelsea], 10001, false 
Woorijip Authentic Korean Food, 4.0, 1480, [Korean], [Midtown West | Koreatown], 10001, false 
Asura Asian Bistro, 4.0, 75, [Chinese | Asian Fusion | Bars], [Midtown West], 10001, false 
Pepe Giallo, 4.0, 232, [Italian], [Chelsea], 10001, false 
Luna 29 Cafe, 4.5, 18, [Cafes], [Midtown West | Chelsea], 10001, false 
HIT Korean Food & Deli, 4.0, 124, [Korean | Delis | Sandwiches], [Chelsea], 10001, false 
Stella 34 Trattoria, 4.0, 219, [Italian | Pizza], [Midtown West], 10001, false 
OCabanon, 4.0, 79, [Coffee & Tea | French], [Midtown West | Chelsea], 10001, false 
ilili, 4.0, 1364, [Greek | Middle Eastern | Mediterranean], [Flatiron], 10001, false 
Bottino Take-Out, 4.5, 81, [Sandwiches], [Chelsea], 10001, false 
The NoMad Library, 4.0, 110, [Gastropubs | Lounges], [Flatiron], 10001, false 
Kobeyaki, 4.0, 215, [Japanese | Sushi Bars | Burgers], [Chelsea], 10001, false 
Chop Shop, 3.5, 123, [Asian Fusion | Chinese | Thai], [Chelsea], 10001, false 
Waldy's Wood Fired Pizza & Penne, 4.0, 451, [Pizza], [Flatiron], 10001, false 
Cho Dang Gol Korean Restaurant, 4.0, 503, [Korean], [Midtown West], 10001, false 
BCD Tofu House, 4.0, 489, [Korean | Vegetarian], [Midtown West | Koreatown], 10001, false 
Tre Dici, 4.0, 232, [Italian], [Chelsea], 10001, false 
Turntable Mad for Chicken, 4.0, 622, [Chicken Wings | Lounges | American (New)], [Midtown West | Koreatown], 10001, false 
Fork & Spoon, 4.0, 74, [Delis | Breakfast & Brunch | Sandwiches], [Midtown West], 10001, false 
Bombay Sandwich Co., 4.0, 110, [Vegan | Vegetarian | Gluten-Free], [Flatiron], 10001, false 
Banana Leaf, 3.5, 141, [Indian | Asian Fusion | Seafood], [Chelsea], 10001, false 
