zip code,results per
10001,60
10002,60
10003,60
10004,60
10005,60
10006,60
10007,60
10009,60
10010,60
10011,60
10012,60
10013,60
10014,60
10016,60
10017,60
10018,60
10019,60
10020,60
10021,60
10022,60
10023,60
10024,60
10025,60
10026,60
10027,60
10028,60
10029,60
10030,60
10031,60
10032,60
10033,60
10034,60
10035,60
10036,60
10037,60
10038,60
10039,60
10040,60
10044,60
10065,60
10069,60
10075,60
10103,60
10110,60
10111,60
10112,60
10115,60
10119,60
10128,60
10152,60
10153,60
10154,60
10162,60
10165,60
10167,60
10168,60
10169,60
10170,60
10171,60
10172,60
10173,60
10174,60
10177,60
10199,60
10271,60
10278,60
10279,60
10280,60
10282,60
10301,60
10302,60
10303,60
10304,60
10305,60
10306,60
10307,60
10308,60
10309,60
10310,60
10311,60
10312,60
10314,60
10451,60
10452,60
10453,60
10454,60
10455,60
10456,60
10457,60
10458,60
10459,60
10460,60
10461,60
10462,60
10463,60
10464,60
10465,60
10466,60
10467,60
10468,60
10469,60
10470,60
10471,60
10472,60
10473,60
10474,60
10475,60
