zip code,results per
10001,500
10002,500
10003,500
10004,500
10005,500
10006,500
10007,500
10009,500
10010,500
10011,500
10012,500
10013,500
10014,500
10016,500
10017,500
10018,500
10019,500
10020,500
10021,500
10022,500
10023,500
10024,500
10025,500
10026,500
10027,500
10028,500
10029,500
10030,500
10031,500
10032,500
10033,500
10034,500
10035,500
10036,500
10037,500
10038,500
10039,500
10040,500
10044,500
10048,500
10065,500
10069,500
10075,500
10111,500
10115,500
10128,500
10280,500
10281,500
10282,500
11201,500
11203,500
11204,500
11205,500
11206,500
11207,500
11208,500
11209,500
11210,500
11211,500
11212,500
11213,500
11214,500
11215,500
11216,500
11217,500
11218,500
11219,500
11220,500
11221,500
11222,500
11223,500
11224,500
11225,500
11226,500
11228,500
11229,500
11230,500
11231,500
11232,500
11233,500
11234,500
11235,500
11236,500
11237,500
11238,500
11239,500
11251,500
11001,500
11004,500
11005,500
11040,500
11096,500
11101,500
11102,500
11103,500
11104,500
11105,500
11106,500
11109,500
11354,500
11355,500
11356,500
11357,500
11358,500
11359,500
11360,500
11361,500
11362,500
11363,500
11364,500
11365,500
11366,500
11367,500
11368,500
11369,500
11371,500
11372,500
11373,500
11374,500
11375,500
11377,500
11378,500
11379,500
11385,500
11411,500
11412,500
11413,500
11414,500
11415,500
11416,500
11417,500
11418,500
11419,500
11420,500
11421,500
11422,500
11423,500
11426,500
11427,500
11428,500
11429,500
11430,500
11432,500
11433,500
11434,500
11435,500
11436,500
11451,500
11691,500
11692,500
11694,500
11697,500
10451,500
10452,500
10453,500
10454,500
10455,500
10456,500
10457,500
10458,500
10459,500
10460,500
10461,500
10462,500
10465,500
10466,500
10467,500
10468,500
10469,500
10470,500
10471,500
10472,500
10473,500
10474,500
10475,500
10301,500
10302,500
10303,500
10304,500
10305,500
10306,500
10307,500
10308,500
10309,500
10310,500
10312,500
10314,500
