The Heath, 4.5, 87, [American (New)], [Chelsea], 10001, false 
A Little Taste, 5.0, 16, [Cafes], [Chelsea], 10001, false 
Porteno Restaurant, 4.5, 167, [Argentine], [Chelsea], 10001, false 
Friedman's, 4.0, 281, [Gluten-Free | Breakfast & Brunch], [Midtown West], 10001, false 
Pio Pio Riko, 4.0, 132, [Peruvian | Latin American], [Midtown West | Chelsea], 10001, false 
Cafe Hanamizuki, 4.5, 59, [Cafes], [Midtown West | Chelsea], 10001, false 
Ovest Pizzoteca, 4.0, 260, [Pizza], [Chelsea], 10001, false 

Soup Spot, 4.5, 152, [Soup], [Midtown West], 10001, false 
NY Pizza Suprema, 4.0, 578, [Pizza], [Midtown West | Chelsea], 10001, false 
Broadway Bites, 4.5, 81, [Street Vendors | American (New)], [Midtown West | Koreatown], 10001, false 
Johny's Luncheonette, 4.0, 420, [American (Traditional) | Diners | Breakfast & Brunch], [Chelsea], 10001, false 
Smithfield, 4.0, 191, [Pubs | American (Traditional) | Sports Bars], [Chelsea], 10001, false 
MEW Izakaya, 4.0, 237, [Japanese], [Midtown West], 10001, false 
Rocket Pig, 4.0, 44, [American (New)], [Chelsea], 10001, false 

Woorijip Authentic Korean Food, 4.0, 1462, [Korean], [Midtown West | Koreatown], 10001, false 
Asura Asian Bistro, 4.0, 69, [Chinese | Asian Fusion | Bars], [Midtown West], 10001, false 
Pepe Giallo, 4.0, 225, [Italian], [Chelsea], 10001, false 
HIT Korean Food & Deli, 4.0, 123, [Korean | Delis | Sandwiches], [Chelsea], 10001, false 
Stella 34 Trattoria, 4.0, 216, [Italian | Pizza], [Midtown West], 10001, false 

Prosperity Dumpling, 4.5, 2234, [Chinese], [Chinatown | Lower East Side], 10002, false 
Gaia Italian Café, 4.5, 441, [Italian], [Lower East Side], 10002, false 
Cafe Katja, 4.5, 460, [German | Austrian], [Lower East Side], 10002, false 
Cocoron, 4.5, 587, [Japanese], [Lower East Side], 10002, false 
Cheeky Sandwiches, 4.5, 329, [Sandwiches], [Chinatown | Lower East Side], 10002, false 
Wah Fung #1 Fast Food, 4.5, 283, [Chinese | Barbeque | Fast Food], [Lower East Side], 10002, false 
Brooklyn Taco Co, 4.5, 154, [Mexican], [Lower East Side], 10002, false 
Lam Zhou Handmade Noodle, 4.0, 556, [Chinese], [Chinatown | Lower East Side], 10002, false 
Black Tree, 4.0, 142, [American (New)], [Lower East Side], 10002, false 
Iguazu Cafe & Grill, 4.5, 13, [Latin American], [Two Bridges | Lower East Side], 10002, false 
The Meatball Shop, 4.0, 2057, [Italian | American (Traditional)], [Lower East Side], 10002, false 
The Boil, 4.0, 687, [Cajun/Creole | Seafood], [Lower East Side], 10002, false 

Shu Jiao Fu Zhou Cuisine Restaurant, 4.5, 125, [Chinese], [Lower East Side], 10002, false 
Cafe Petisco, 4.0, 138, [Breakfast & Brunch | Coffee & Tea | Sandwiches], [Lower East Side], 10002, false 
Black Crescent, 4.5, 59, [Cocktail Bars | Tapas/Small Plates], [Lower East Side], 10002, false 
Louie and Chan, 4.5, 56, [Italian], [Lower East Side], 10002, false 
Barrio Chino, 4.0, 720, [Mexican | Bars], [Lower East Side], 10002, false 
Thelma On Clinton, 4.0, 44, [American (New)], [Lower East Side], 10002, false 
Pig And Khao, 4.0, 424, [Filipino | Thai | Asian Fusion], [Lower East Side], 10002, false 
Zest, 4.0, 225, [Sushi Bars | Japanese | Thai], [Lower East Side], 10002, false 
Taqueria Lower East Side, 4.0, 474, [Mexican | Bars], [Lower East Side], 10002, false 
Clinton St. Baking Company, 4.0, 2432, [Breakfast & Brunch], [Lower East Side], 10002, false 
Vanessa's Dumpling House, 4.0, 1377, [Chinese], [Lower East Side], 10002, false 
Wolfnights, 4.0, 177, [Sandwiches], [Lower East Side], 10002, false 
