zip code,results per
10001,100
10002,100
10003,100
10004,100
10005,100
10006,100
10007,100
10009,100
10010,100
10011,100
10012,100
10013,100
10014,100
10016,100
10017,100
10018,100
10019,100
10020,100
10021,100
10022,100
10023,100
10024,100
10025,100
10026,100
10027,100
10028,100
10029,100
10030,100
10031,100
10032,100
10033,100
10034,100
10035,100
10036,100
10037,100
10038,100
10039,100
10040,100
10044,100
10048,100
10065,100
10069,100
10075,100
10111,100
10115,100
10128,100
10280,100
10281,100
10282,100
11201,100
11203,100
11204,100
11205,100
11206,100
11207,100
11208,100
11209,100
11210,100
11211,100
11212,100
11213,100
11214,100
11215,100
11216,100
11217,100
11218,100
11219,100
11220,100
11221,100
11222,100
11223,100
11224,100
11225,100
11226,100
11228,100
11229,100
11230,100
11231,100
11232,100
11233,100
11234,100
11235,100
11236,100
11237,100
11238,100
11239,100
11251,100
11001,100
11004,100
11005,100
11040,100
11096,100
11101,100
11102,100
11103,100
11104,100
11105,100
11106,100
11109,100
11354,100
11355,100
11356,100
11357,100
11358,100
11359,100
11360,100
11361,100
11362,100
11363,100
11364,100
11365,100
11366,100
11367,100
11368,100
11369,100
11371,100
11372,100
11373,100
11374,100
11375,100
11377,100
11378,100
11379,100
11385,100
11411,100
11412,100
11413,100
11414,100
11415,100
11416,100
11417,100
11418,100
11419,100
11420,100
11421,100
11422,100
11423,100
11426,100
11427,100
11428,100
11429,100
11430,100
11432,100
11433,100
11434,100
11435,100
11436,100
11451,100
11691,100
11692,100
11694,100
11697,100
10451,100
10452,100
10453,100
10454,100
10455,100
10456,100
10457,100
10458,100
10459,100
10460,100
10461,100
10462,100
10465,100
10466,100
10467,100
10468,100
10469,100
10470,100
10471,100
10472,100
10473,100
10474,100
10475,100
10301,100
10302,100
10303,100
10304,100
10305,100
10306,100
10307,100
10308,100
10309,100
10310,100
10312,100
10314,100
